Ashfaq Ishaq
Alan Smolinisky
Mehrdad Khonsari
Iris Fontbona
range map image
Sebastián Piñera
operating system
Madonna
Juan Manuel Fangio
Benoît Potier
50 Cent
Dr. Dre
James Watt
Agustín Edwards Mac-Clure
Carlos Víctor Aramayo
Ángel Ramos
Leopold II
Anousheh Ansari
Victoria Beckham
Silvio Gesell
Noh Hong-chul
Clive Sinclair
Alfred V. du Pont
Amancio Ortega
Beyoncé Knowles
Thomas Dewar, 1st Baron Dewar
Demi Lovato
Charles, Prince of Wales
Vince McMahon
Juliana Rotich
Elias Boudinot
Michael Morhaime
Meg Whitman
Pedro Passos Coelho
Hanns-Martin Schleyer
Bjørn Kjos
Michael Thonet
Rudolf Dassler
Alfried Krupp von Bohlen und Halbach
Friedrich Alfred Krupp
Leo Kirch
August Oetker
Francis Mer
Dieter Zetsche
Rudolf August Oetker
Alfred Lion
Hassan II of Morocco
Herbert Quandt
Theodor Bergmann
Joseph Anton von Maffei
Cevat Yerli
Johanna Quandt
Jawed Karim
Anthony Fokker
Adolf Dassler
Max Grundig
Emil Jellinek
Ferdinand Piëch
Antonio Brufau Niubó
Friedrich Engelhorn
Michael Raum
Jochen Zeitz
Karl Wlaschek
Robert Schlumberger von Goldeck
Bernhard Sprengel
Julius Pintsch
Karl Nessler
Tamara Desni
Max Levchin
William Norris
Craig McCaw
Henry Clay Frick
Berthold Beitz
Bernhard, Hereditary Prince of Baden
August Kappler
Aloys Wobben
Friedrich Wilhelm, Prince of Wied
Gustav Konstantin von Alvensleben
Enno Walther Huth
Bernhard Eisenstuck
Wilhelm Emil Fein
Ulrich Gabler
Johann Scheibler
Gustav von Mevissen
Eduard Puricelli
Albrecht von Müller
Adolph Friedländer
Stefan Krauter
Wilhelm Schuler
Martin Blessing
Klaus Agthe
Josef Bauer
Mohamed Bin Issa Al Jaber
Fritz Hahne
Fritz Hoffmann-La Roche
Joseph-Frédéric-Benoît Charrière
Adolf Guyer-Zeller
Daniel Borel
Oskar Reinhart
Carl August Klindworth
Jorge Paulo Lemann
Gianfelice Rocca
Stanko Subotić
Carlo De Benedetti
Jane Seymour
Philippe Suchard
François-Louis Cailler
Alexander Mackenzie
Murphy J. Foster
Melanie C
Giorgio Armani
Ali Daei
Ruud Lubbers
Gustaf Dalén
Ignas Staškevičius
Thaksin Shinawatra
Riad Seif
Tyra Banks
Eric Lux
Lester Lyles
Henry Sy
Patrice Motsepe
Kim Kardashian
Nas
James Broselow
Sigmund Zois
Marcus Goldman
Claus Spreckels
Sean Combs
Jelena Jensen
Gordon Moore
Álvaro Noboa
Franz, Duke of Bavaria
Konosuke Matsushita
Iman
Mourad Boudjellal
John Fredriksen
Steve Rubell
Édouard-Jean Empain
Édouard Michelin (born 1963)
Gabriela Grillo
Sergei Mavrodi
Peter Durand
Estée Lauder
Charles Rebozo
Tony Hawk
Liliane Bettencourt
Louis Renault
Emperor Norton
Torcuato di Tella
Luděk Sekyra
Craig Venter
Robert Kiyosaki
Ferruccio Lamborghini
Jeff Bezos
Eduardo Saverin
Charles Rolls
Soichiro Honda
Cornelius Vanderbilt
Tullio Campagnolo
Ken Blanchard
Abigail Folger
Matthias W. Baldwin
Franz Ulrich, 11th Prince Kinsky of Wchinitz and Tettau
Daniel Biasone
Frederick W. Smith
Allen Klein
James Maybrick
Dodi Fayed
Abraham Darby I
Robert Maxwell
Herbert Austin, 1st Baron Austin
Maurice Saatchi, Baron Saatchi
Darius Mockus
Fred C. Koch
Alfred P. Sloan
Giampiero Moretti
Gabe Newell
Roy O. Disney
David Filo
David Stern
José Alencar
Yoshiaki Tsutsumi
Hiroshi Yamauchi
Gianni Agnelli
Guy Laliberté
Hannibal Muammar Gaddafi
George Pullman
Ole Kirk Christiansen
Dick Clark
Eugène Schneider
Eldridge R. Johnson
Daniel T. Jewett
Samuel Sachs
Henry Meiggs
Akram Ojjeh
Ivica Todorić
Gloria Trevi
Kumar Mangalam Birla
John Jacob Astor IV
Paul Rusesabagina
Rick Scott
Julia Channel
F. Augustus Heinze
Lee Byung-chul
Stig Anderson
Nion Tocker
Arthur Guinness
Basetsane Kumalo
Quinn Cummings
Fátima Lopes
Alexander Mashkevitch
Dhirubhai Ambani
Saad Mohseni
William Cornelius Van Horne
Max Théret
Jared Leto
Chung Mong-koo
Park Tae-joon
Alisher Usmanov
Marcel Renault
Pietro Ferrero Jr.
Wally Hickel
Henry Ford II
Arzuhan Yalçındağ
Charles Ferguson
Ileana Sonnabend
Benjamin Outram
Leonardo Fioravanti
Chanda Kochhar
Gulnara Karimova
Magnolia Antonino
Angus Ogilvy
Moshe Arens
Battista Farina
Edsel Ford
Pierre Bellon
René Angélil
John DeLorean
Nick Berg
Haim Saban
Herb Kohl
W. O. Bentley
Leroy Grumman
Faruk Karakaya
Anni Schaad
Ken Bates
William Myron Keck
Atsushi Inaba
Michael O'Leary
George Millay
Rami Makhlouf
Fredrik Meltzer
Michael Jeffery
Alex Shnaider
Harold Prince
Giovanni Michelotti
Aaron Lopez
Thierry Desmarest
Archibald Peter McNab
Tony Ryan
Berthold Albrecht
Ricardo Salinas Pliego
Giorgio Gomelsky
Stephan Schmidheiny
Klaus Heidegger
Ignác Šustala
Arnold Peter Møller
Arnon Milchan
Gabriele Albertini
Carlo Abarth
Kai-Fu Lee
Ing Chang-ki
Viktor Vekselberg
Michael Durant
Santo Versace
Arthur Nielsen
Jay Gould
Richard Li
Buddy Adler
Khun Sa
Gil Amelio
Bertil Hult
Guccio Gucci
Matsukata Kojiro
Robert Bigelow
J. C. Jacobsen
Dean Kamen
Preston Tucker
Leonard Goldberg
John Payne
Chris Taylor
Frank Pearce
Nicola Romeo
Stanley Ho
George N. Gillett, Jr.
Issam Fares
Harvey Ball
James J. Hill
Charles V. Paterno
Ugo Zagato
Aw Boon Haw
Fabian Thylmann
Ben Quayle
Ben Woldring
Bono
Zhu Jun
David Yang
Masakazu Motoki
Shane McMahon
Farhad Moshiri
Bill Beaumont
Roland Berger
Pedro Carmona
Carroll S. Page
Bob Stapleton
Noël Martin
Chip Foose
Frederick Stark Pearson
John Eales
Peter Cooper
Stein Erik Hagen
Jerry Wald
Patrick Nee
Samuel Cunard
Gerard Lopez
Outi Alanne
David Thomson
Jiang Jiemin
Charles Bedaux
Howard W. Koch
Henry J. Heinz
Dmitry Rybolovlev
Wang Zhen
Christian Davies
Camillo Olivetti
Carl Adolf Riebeck
Carl Laemmle, Jr.
Pietro Lunardi
Aza Raskin
Charles Saatchi
Sumitomo Masatomo
Collis Potter Huntington
Adolf Kohner
Leonid Fedun
Cristoforo Benigno Crespi
Eiji Toyoda
Mary-Kate Olsen
Danny Seo
Platon Lebedev
Pompeo D'Ambrosio
Megdet Rahimkulov
Rob Jones
Tom Anderson
Richard Bass
Dilip Shanghvi
Stefano Gabbana
Hermann Bahlsen
Joseph McGrath
Preston Robert Tisch
Kazuo Hirai
John Franklyn Mars
Edgard Frankignoul
Ehsan Bayat
Fernando Lopez
Tiny Rowland
Enrique Norten
Henri Deutsch de la Meurthe
Freddie Laker
Morten Lund
John Paul Getty III
Matteo Ceirano
François-Henri Pinault
Fan Li
Jean Rédélé
Jay Pritzker
Armand Peugeot
Muhtar Kent
Petr Kellner
Forrest Mars
Richard DeVos
Gérard Mulliez
Frank Blake
Fran Cotton
Francisco Seeber
Håkan Samuelsson
Franz Humer
